"","player_id","name","season","team_id","nation","pos","matches","starts","minutes","goals","assists","yellow_cards","red_cards"
"1",305,"Lindsay Agnew",2017,"WAS","CAN","FW",8,2,290,0,1,0,0
"2",287,"Laura Alleway",2017,"ORL","AUS","DF",2,1,136,0,0,2,0
"3",34,"NA Andressinha",2017,"HOU","BRA","MF",21,17,1557,2,3,1,0
"4",384,"Morgan Andrews",2017,"BOS","USA","MF",18,10,1033,0,0,2,0
"5",10,"Alex Arlitt",2017,"KC","USA","DF",1,0,33,0,0,0,0
"6",433,"Rosana dos Santos Augusto",2017,"NC","BRA","DF,FW",4,1,68,0,0,0,0
"7",503,"Yael Averbuch",2017,"KC","USA","MF",23,23,2045,1,1,0,0
"8",161,"Estefanía Banini",2017,"WAS","ARG","FW,MF",9,6,546,1,0,0,0
"9",290,"Lauren Barnes",2017,"SEA","USA","DF",22,21,1810,0,0,5,1
"10",322,NA,2017,"SEA","USA","DF",5,1,151,0,0,0,0
"11",197,"Janine Beckie",2017,"HOU","CAN","FW",24,21,1829,2,1,2,0
"12",86,"Cassidy Benintente",2017,"NJ","USA","DF",1,0,30,0,0,0,0
"13",89,"Celeste Boureille",2017,"POR","USA","MF",17,13,1179,0,0,1,0
"14",239,"Katie Bowen",2017,"KC","NZL","DF,MF",21,13,1059,2,1,0,0
"15",385,"Morgan Brian",2017,"HOU","USA","MF",10,9,664,0,0,0,0
"16",385,"Morgan Brian",2017,"CHI","USA","MF",2,1,85,0,0,0,0
"17",27,"Amber Brooks",2017,"HOU","USA","DF,MF",24,24,2160,1,3,3,0
"18",60,NA,2017,"HOU","BRA","DF",14,8,841,0,0,6,0
"19",116,"Dagný Brynjarsdóttir",2017,"POR","ISL","MF",11,6,511,0,1,3,0
"20",99,"Christina Burkenroad",2017,"ORL","USA","MF",1,0,8,0,0,0,0
"21",68,"NA Camila",2017,"ORL","BRA","DF",24,22,1900,4,5,4,0
"22",66,"Cameron Castleberry",2017,"WAS","USA","MF",2,0,26,0,0,0,0
"23",464,"Steph Catley",2017,"ORL","AUS","DF",23,23,2030,0,2,1,0
"24",20,"Allysha Chapman",2017,"BOS","CAN","DF",19,19,1642,0,0,5,1
"25",501,"Whitney Church",2017,"WAS","USA","DF",22,22,1980,1,1,1,0
"26",120,"Danielle Colaprico",2017,"CHI","USA","MF",23,21,1905,1,1,3,0
"27",475,"Taylor Comeau",2017,"CHI","USA","DF",20,10,1096,0,1,0,0
"28",123,"Daphne Corboz",2017,"NJ","USA","MF",19,12,1161,1,5,0,0
"29",415,"Rachel Corsie",2017,"SEA","SCO","DF",14,12,1126,0,1,1,0
"30",360,"Meghan Cox",2017,"HOU","USA","DF",1,0,NA,0,0,0,0
"31",360,"Meghan Cox",2017,"POR","USA","DF",9,2,261,0,0,2,0
"32",286,"Larissa Crummer",2017,"SEA","AUS","FW",4,0,47,1,0,0,0
"33",23,"Amanda DaCosta",2017,"BOS","POR","MF",11,4,382,1,0,0,0
"34",1,"Abby Dahlkemper",2017,"NC","USA","MF",24,24,2160,0,2,3,0
"35",270,"Kiersten Dallstream",2017,"SEA","USA","DF,FW",14,3,351,1,2,0,0
"36",416,"Rachel Daly",2017,"HOU","ENG","FW",23,23,2024,5,2,2,1
"37",125,"NA Debinha",2017,"NC","BRA","FW",24,16,1472,4,2,0,0
"38",496,"Vanessa DiBernardo",2017,"CHI","USA","MF",20,20,1708,3,2,0,0
"39",329,"Makenzy Doniak",2017,"NC","USA","FW",22,15,1213,0,3,0,0
"40",359,"Meggie Dougherty Howard",2017,"WAS","USA","MF",23,21,1911,1,1,2,0
"41",180,"Hayley Dowd",2017,"BOS","USA","FW",1,0,25,0,0,0,0
"42",393,"Natasha Dowie",2017,"BOS","ENG","FW",23,18,1658,7,2,1,0
"43",399,"Nickolette Driesse",2017,"ORL","USA","MF",4,0,47,0,0,0,0
"44",72,"Caprice Dydasco",2017,"WAS","USA","DF",16,11,1118,0,0,2,0
"45",142,"Elizabeth Eddy",2017,"NC","USA","MF",5,0,55,0,0,0,0
"46",276,"Kristen Edmonds",2017,"ORL","USA","DF",22,20,1802,2,0,1,0
"47",59,"Brooke Elby",2017,"BOS","USA","MF",13,10,848,0,0,2,0
"48",306,"Lindsay Elston",2017,"SEA","USA","FW,MF",15,11,945,1,1,1,0
"49",3,"Abby Erceg",2017,"NC","NZL","DF,FW",22,22,1946,1,2,3,1
"50",228,"Julie Ertz",2017,"CHI","USA","DF,MF",22,21,1933,4,3,3,0
"51",119,"Danica Evans",2017,"ORL","USA","FW",11,1,191,1,0,0,0
"52",325,"Maddy Evans",2017,"ORL","USA","DF,MF",12,4,482,0,0,2,0
"53",104,"Claire Falknor",2017,"HOU","USA","DF",7,3,275,0,0,0,0
"54",65,"Cali Farquharson",2017,"WAS","USA","FW",10,3,352,0,0,1,0
"55",194,"Jamia Fields",2017,"ORL","USA","FW",16,7,596,0,1,0,0
"56",211,NA,2017,"SEA","WAL","MF",20,20,1743,7,2,3,0
"57",79,"Caroline Flynn",2017,"KC","USA","MF",10,0,152,0,0,0,0
"58",333,"Mandy Freeman",2017,"NJ","USA","DF",21,20,1802,0,1,0,0
"59",24,"Amanda Frisbie",2017,"BOS","USA","DF",12,9,751,0,1,1,0
"60",298,"Leah Galton",2017,"NJ","ENG","FW",16,6,661,2,1,0,0
"61",100,"Christina Gibbons",2017,"KC","USA","DF",24,23,2084,1,3,2,0
"62",445,"Sarah Gorden",2017,"CHI","USA","DF",5,3,223,0,0,0,0
"63",470,"Summer Green",2017,"CHI","USA","FW",7,1,136,0,0,0,0
"64",456,"Shea Groom",2017,"KC","USA","FW",22,21,1779,5,6,4,1
"65",149,"Emilie Haavi",2017,"BOS","NOR","FW,MF",7,5,458,0,0,1,0
"66",446,"Sarah Hagen",2017,"HOU","USA","FW",18,7,674,2,0,0,0
"67",277,"Kristen Hamilton",2017,"NC","USA","FW",16,12,1073,3,2,0,0
"68",43,"Ashley Hatch",2017,"NC","USA","FW",22,13,1200,7,2,2,0
"69",350,"Maya Hayes",2017,"NJ","USA","FW",22,13,1064,5,4,1,0
"70",64,"Caity Heap",2017,"HOU",NA,"MF",13,2,337,0,0,1,0
"71",491,"Tobin Heath",2017,"POR","USA","MF",2,0,75,0,0,0,0
"72",366,"Melissa Henderson",2017,"HOU","USA","FW,MF",1,0,19,0,0,0,0
"73",25,"Amandine Henry",2017,"POR","FRA","MF",21,19,1616,3,0,3,0
"74",44,"Ashley Herndon",2017,"POR","USA","MF",1,0,6,0,0,0,0
"75",417,"Rachel Hill",2017,"ORL","USA","FW",14,8,714,3,1,0,0
"76",192,"Jaelene Hinkle",2017,"NC","USA","DF",20,20,1775,0,2,0,0
"77",408,"Nora Holstad Berge",2017,"NC","NOR","DF",2,1,89,0,0,0,0
"78",308,"Lindsey Horan",2017,"POR","USA","FW",24,24,2126,4,2,4,0
"79",204,"Jen Hoy",2017,"CHI","USA","FW,MF",13,8,635,2,2,0,0
"80",258,"Kelli Hubly",2017,"POR","USA","DF",2,0,13,0,0,0,0
"81",460,"Sofia Huerta",2017,"CHI","MEX","FW",24,21,1966,6,4,0,0
"82",493,"Tori Huster",2017,"WAS","USA","MF",20,19,1714,0,0,2,0
"83",310,NA,2017,"WAS","DEN","DF",9,6,569,1,1,0,0
"84",162,"Estelle Johnson",2017,"WAS","CMR","DF",20,20,1680,2,0,2,0
"85",240,NA,2017,"SEA","MEX","FW",23,5,794,4,2,0,0
"86",264,"Kendall Johnson",2017,"POR","USA","DF,MF",4,0,8,0,0,0,0
"87",443,"Samantha Johnson",2017,"CHI","USA","DF,MF",22,22,1786,0,0,2,0
"88",394,"Natasha Kai",2017,"NJ","USA","FW",1,0,19,0,0,0,0
"89",232,"Kassey Kallman",2017,"WAS","USA","DF",17,16,1400,0,0,1,0
"90",293,"Lauren Kaskie",2017,"CHI","USA","MF",7,2,212,0,0,1,0
"91",505,"Yuri Kawamura",2017,"NC","JPN","MF",8,7,588,0,0,1,0
"92",390,"Nahomi Kawasumi",2017,"SEA","JPN","FW,MF",24,22,1917,6,8,0,0
"93",328,"Maegan Kelly",2017,"KC","CAN","MF",22,5,664,5,2,2,0
"94",9,"Alanna Kennedy",2017,"ORL","AUS","MF",24,23,2101,4,1,3,0
"95",439,"Sam Kerr",2017,"NJ","AUS","FW,MF",22,21,1918,17,4,2,0
"96",449,"Sarah Killion",2017,"NJ","USA","MF",23,22,2034,5,2,1,0
"97",230,"Julie King",2017,"BOS","USA","DF",21,21,1890,1,0,4,0
"98",21,"Alyssa Kleiner",2017,"WAS","USA","DF",18,11,998,0,0,0,0
"99",361,"Meghan Klingenberg",2017,"POR","USA","DF,MF",23,22,1935,0,6,1,0
"100",57,NA,2017,"KC","USA","DF",23,22,1980,0,0,1,0
"101",15,"Ali Krieger",2017,"ORL","USA","DF,MF",24,24,2160,0,2,2,0
"102",314,"Lo’eau LaBonta",2017,"KC","USA","MF",22,21,1727,2,2,4,1
"103",434,"Rose Lavelle",2017,"BOS","USA","MF",10,8,764,2,1,0,0
"104",7,"Adriana Leon",2017,"BOS","CAN","FW,MF",24,21,1780,6,6,2,0
"105",472,"Sydney Leroux",2017,"KC","USA","FW",23,23,2013,6,2,2,0
"106",70,"Camille Levin",2017,"HOU","USA","DF",22,22,1980,0,0,1,0
"107",76,"Carli Lloyd",2017,"HOU","USA","MF",8,8,647,2,0,2,1
"108",216,"Joanna Lohman",2017,"WAS","USA","DF,MF",1,1,22,0,0,0,0
"109",18,"Allie Long",2017,"POR","USA","MF",21,17,1600,2,1,1,0
"110",495,"Tyler Lussi",2017,"POR","USA","FW",5,3,291,1,2,0,0
"111",476,"Taylor Lytle",2017,"NJ","USA","MF",21,20,1688,0,5,0,0
"112",346,"NA Marta",2017,"ORL","BRA","FW",23,21,1940,13,6,3,0
"113",369,"Merritt Mathias",2017,"SEA","USA","DF,MF",21,18,1461,2,1,4,0
"114",93,"Cheyna Matthews",2017,"WAS","JAM","FW",21,16,1258,5,1,1,0
"115",22,"Alyssa Mautz",2017,"CHI","USA","FW,MF",24,15,1415,2,0,2,0
"116",466,"Stephanie McCaffrey",2017,"CHI","USA","FW",12,4,362,0,0,0,0
"117",212,"Jessica McDonald",2017,"NC","USA","FW",19,11,1064,4,2,0,0
"118",278,"Kristen McNabb",2017,"SEA","USA","DF",18,14,1306,1,0,3,0
"119",353,"McKenzie Meehan",2017,"NJ","USA","FW",17,5,599,0,1,0,0
"120",150,"Emily Menges",2017,"POR","USA","DF",23,23,2063,0,0,0,0
"121",280,"Kristie Mewis",2017,"CHI","USA","DF,MF",1,1,81,1,0,0,0
"122",280,"Kristie Mewis",2017,"HOU","USA","DF,MF",5,5,444,0,2,0,0
"123",280,"Kristie Mewis",2017,"WAS","USA","DF,MF",14,10,899,2,2,1,0
"124",441,NA,2017,"NC","USA","MF",24,23,2097,6,3,2,0
"125",249,"Kayla Mills",2017,"NJ","USA","DF",16,13,1161,0,0,1,0
"126",473,"Sydney Miramontez",2017,"KC","USA","DF",5,5,450,0,1,0,0
"127",382,"NA Monica",2017,"ORL","BRA","DF",19,16,1284,0,0,0,0
"128",11,"Alex Morgan",2017,"ORL","USA","FW",13,12,1058,9,4,0,0
"129",426,"Rebecca Moros",2017,"KC","USA","DF,MF",19,17,1552,0,0,1,0
"130",354,"Meg Morris",2017,"POR","USA","MF",1,0,11,0,0,0,0
"131",389,"Nadia Nadim",2017,"POR","DEN","FW",16,13,1158,6,3,1,0
"132",504,"Yuki Nagasato",2017,"CHI","JPN","FW",6,3,310,1,2,0,1
"133",101,"Christine Nairn",2017,"SEA","USA","MF",23,21,1648,1,5,1,0
"134",242,NA,2017,"CHI","USA","DF",22,22,1958,0,0,1,0
"135",14,"Alexa Newfield",2017,"KC","USA","FW",17,8,658,2,1,4,1
"136",257,"Kelley O'Hara",2017,"NJ","USA","DF,FW",18,17,1561,4,3,3,0
"137",126,"Denise O'Sullivan",2017,"HOU","IRL","FW",11,5,447,0,1,0,0
"138",126,"Denise O'Sullivan",2017,"NC","IRL","FW",7,6,505,0,0,0,0
"139",467,"Stephanie Ochs",2017,"NC","USA","FW",5,0,52,0,0,0,0
"140",253,"Kealia Ohai",2017,"HOU","USA","FW,MF",10,10,864,2,2,0,0
"141",186,"Ifeoma Onumonu",2017,"BOS","USA","FW",18,3,509,0,1,0,0
"142",165,"Francisca Ordega",2017,"WAS","NGA","FW,MF",14,8,923,4,3,2,0
"143",357,"Megan Oyster",2017,"BOS","USA","DF",23,23,2070,0,0,3,0
"144",98,"Christie Pearce",2017,"NJ","USA","DF",16,16,1440,0,0,0,0
"145",82,"Carson Pickett",2017,"SEA","USA","DF",21,21,1870,0,0,2,0
"146",412,"NA Poliana",2017,"HOU","BRA","DF",22,17,1563,4,2,0,0
"147",96,"Christen Press",2017,"CHI","USA","FW",23,22,1997,11,5,2,0
"148",492,"Toni Pressley",2017,"ORL","USA","DF",18,13,1218,1,0,1,0
"149",398,"Nichelle Prince",2017,"HOU","CAN","FW",23,18,1540,3,1,0,0
"150",67,"Cami Privett",2017,"HOU","USA","MF",16,8,748,0,0,1,0
"151",387,"Morgan Proffitt",2017,"CHI","USA","MF",7,1,110,0,0,0,0
"152",387,"Morgan Proffitt",2017,"WAS","USA","MF",3,3,255,0,0,0,0
"153",331,"Mallory Pugh",2017,"WAS","USA","FW",16,13,1203,6,1,0,0
"154",337,NA,2017,"BOS","USA","FW",22,13,1384,1,2,1,0
"155",358,"Megan Rapinoe",2017,"SEA","USA","FW,MF",18,17,1522,12,1,5,0
"156",182,"Hayley Raso",2017,"POR","AUS","FW,MF",22,20,1785,6,3,5,0
"157",58,"Brittany Ratcliffe",2017,"KC","USA","FW",21,12,1074,1,3,1,0
"158",145,"Elli Reed",2017,"SEA","USA","DF,MF",4,1,101,0,0,0,0
"159",238,"Katherine Reynolds",2017,"POR","USA","DF",10,10,883,0,0,1,0
"160",131,"Domi Richardson",2017,"NJ","USA","DF,MF",7,7,630,0,1,0,0
"161",74,"Cari Roccaro",2017,"HOU","USA","DF",18,16,1500,0,0,3,0
"162",31,"Amy Rodriguez",2017,"KC","USA","FW,MF",1,1,57,1,0,0,0
"163",425,"Raquel Rodriguez",2017,"NJ","CRC","FW",21,17,1456,4,0,2,0
"164",35,"Angela Salem",2017,"BOS","USA","MF",24,24,2117,0,0,3,0
"165",48,"Becky Sauerbrunn",2017,"KC","USA","DF",22,22,1980,1,2,2,0
"166",127,"Desiree Scott",2017,"KC","CAN","MF",21,20,1803,0,2,0,0
"167",364,"Meleana Shim",2017,"POR","USA","MF",6,3,209,0,0,0,0
"168",39,"Arielle Ship",2017,"WAS","USA","FW",14,9,688,1,2,1,0
"169",85,"Casey Short",2017,"CHI","USA","DF",22,21,1914,1,1,2,0
"170",159,"Erin Simon",2017,"NJ","USA","DF",7,7,516,0,0,1,0
"171",102,"Christine Sinclair",2017,"POR","CAN","FW,MF",24,24,2143,8,0,3,0
"172",156,"Erica Skroski",2017,"NJ","USA","DF",21,20,1763,1,0,3,0
"173",477,"Taylor Smith",2017,"NC","USA","FW",24,18,1750,0,2,2,0
"174",178,"Havana Solaun",2017,"WAS","JAM","MF",24,20,1728,5,4,0,0
"175",152,"Emily Sonnett",2017,"POR","USA","DF",24,24,2160,3,1,2,0
"176",368,"Meredith Speck",2017,"NC","USA","MF",4,2,197,0,0,0,0
"177",199,"Jasmyne Spencer",2017,"ORL","USA","FW",20,12,1101,3,5,1,0
"178",404,"Nikki Stanton",2017,"NJ","USA","MF",16,13,1045,0,1,6,0
"179",244,"Katie Stengel",2017,"BOS","USA","FW",12,7,556,0,1,1,0
"180",244,"Katie Stengel",2017,"WAS","USA","FW",5,3,222,0,0,0,0
"181",428,"Rebekah Stott",2017,"SEA","NZL","DF,MF",22,18,1711,0,1,1,0
"182",41,"Ashleigh Sykes",2017,"POR","AUS","FW",15,12,995,1,1,1,0
"183",115,NA,2017,"WAS","USA","FW",1,0,25,0,0,0,0
"184",327,"Madison Tiernan",2017,"NJ","USA","MF",20,11,1038,3,1,4,0
"185",157,"Erika Tymrak",2017,"KC","USA","FW,MF",12,4,394,2,1,0,0
"186",94,"Chioma Ubogagu",2017,"ORL","USA","FW",19,16,1346,4,3,1,0
"187",436,"Rumi Utsugi",2017,"SEA","JPN","MF",20,18,1665,1,2,0,0
"188",118,"Dani Weatherholt",2017,"ORL","USA","MF",19,17,1486,1,1,1,0
"189",332,"Mallory Weber",2017,"POR","USA","FW",17,5,563,1,1,1,0
"190",489,"Tiffany Weimer",2017,"BOS","USA","FW",17,11,809,0,1,1,0
"191",97,"Christen Westphal",2017,"BOS","USA","DF",13,13,1129,0,1,1,0
"192",435,"Rosie White",2017,"BOS","NZL","FW",22,21,1794,4,1,7,0
"193",321,"Lynn Williams",2017,"NC","USA","FW",21,21,1826,9,5,0,0
"194",442,"Sam Witteman",2017,"NC","USA","DF",12,5,419,0,0,2,0
"195",40,"Arin Wright",2017,"CHI","USA","DF",22,21,1766,0,0,2,0
"196",198,"Janine van Wyk",2017,"HOU","RSA","DF",17,17,1474,0,0,4,0
"197",50,"Beverly Yanez",2017,"SEA","USA","FW,MF",22,17,1345,4,1,0,0
"198",457,"Shelina Zadorsky",2017,"WAS","CAN","DF",21,20,1793,0,1,2,0
"199",351,"McCall Zerboni",2017,"NC","USA","MF",23,23,2017,3,0,4,0
"200",370,"Michaela Abam",2018,"NJ","CMR","FW",4,0,49,0,0,0,0
"201",139,"Elizabeth Addo",2018,"SEA","GHA","FW",12,8,688,0,1,2,0
"202",305,"Lindsay Agnew",2018,"HOU","CAN","FW",12,6,609,0,1,0,0
"203",34,"NA Andressinha",2018,"POR","BRA","MF",18,9,847,0,0,1,0
"204",384,"Morgan Andrews",2018,"SEA","USA","MF",15,7,768,0,0,1,0
"205",503,"Yael Averbuch",2018,"SEA","USA","MF",1,1,90,0,0,0,0
"206",140,"Elizabeth Ball",2018,"POR","USA","DF",6,0,100,0,0,0,0
"207",161,"Estefanía Banini",2018,"WAS","ARG","FW,MF",12,11,891,1,1,0,0
"208",290,"Lauren Barnes",2018,"SEA","USA","DF",19,18,1679,0,0,2,0
"209",322,NA,2018,"SEA","USA","DF",1,0,16,0,0,0,0
"210",197,"Janine Beckie",2018,"NJ","CAN","FW",15,11,1049,0,0,1,0
"211",138,"Eliza Bona",2018,"NJ","USA","MF",2,0,25,0,0,0,0
"212",89,"Celeste Boureille",2018,"POR","USA","MF",21,18,1587,0,0,1,0
"213",239,"Katie Bowen",2018,"UTA","NZL","DF,MF",19,16,1434,0,1,0,0
"214",385,"Morgan Brian",2018,"CHI","USA","MF",8,6,497,0,0,0,0
"215",27,"Amber Brooks",2018,"HOU","USA","DF,MF",24,24,2160,1,0,3,0
"216",55,"Bridget Callahan",2018,"ORL","USA","MF",1,0,NA,0,0,0,0
"217",68,"NA Camila",2018,"ORL","BRA","DF",9,3,318,0,0,3,0
"218",147,"Ellie Carpenter",2018,"POR","AUS","DF",17,14,1299,1,0,0,0
"219",464,"Steph Catley",2018,"SEA","AUS","DF",16,16,1436,0,3,2,0
"220",20,"Allysha Chapman",2018,"HOU","CAN","DF",15,15,1331,0,1,2,0
"221",20,"Allysha Chapman",2018,"NC","CAN","DF",1,0,19,0,0,0,0
"222",501,"Whitney Church",2018,"WAS","USA","DF",22,21,1898,0,1,2,0
"223",507,"Zoe Clark",2018,"WAS","USA","DF",1,1,90,0,0,0,0
"224",120,"Danielle Colaprico",2018,"CHI","USA","MF",24,21,1906,1,4,3,0
"225",475,"Taylor Comeau",2018,"CHI","USA","DF",11,10,932,1,0,2,0
"226",475,"Taylor Comeau",2018,"HOU","USA","DF",12,12,1072,0,2,0,0
"227",415,"Rachel Corsie",2018,"UTA","SCO","DF",24,23,2088,0,1,3,0
"228",32,"Ana-Maria Crnogorcevic",2018,"POR","SUI","FW",20,17,1407,5,3,0,0
"229",356,"Megan Crosson",2018,"WAS",NA,"DF",1,1,90,0,0,0,0
"230",166,"Frannie Crouse",2018,"NC","USA","FW",1,0,27,1,0,0,0
"231",1,"Abby Dahlkemper",2018,"NC","USA","MF",19,19,1710,0,0,1,0
"232",270,"Kiersten Dallstream",2018,"SEA","USA","DF,FW",3,2,163,0,0,1,0
"233",416,"Rachel Daly",2018,"HOU","ENG","FW",24,24,2155,10,2,4,0
"234",125,"NA Debinha",2018,"NC","BRA","FW",21,20,1731,8,2,0,0
"235",496,"Vanessa DiBernardo",2018,"CHI","USA","MF",11,7,679,2,2,0,0
"236",187,"Imani Dorsey",2018,"NJ","USA","FW",13,12,1048,4,1,0,0
"237",359,"Meggie Dougherty Howard",2018,"WAS","USA","MF",23,14,1448,0,0,3,0
"238",399,"Nickolette Driesse",2018,"NJ","USA","MF",1,0,7,0,0,0,0
"239",114,"Crystal Dunn",2018,"NC","USA","DF,MF",22,21,1801,8,5,0,0
"240",72,"Caprice Dydasco",2018,"WAS","USA","DF",24,21,1948,0,0,2,0
"241",142,"Elizabeth Eddy",2018,"NC","USA","MF",2,1,94,0,0,0,0
"242",276,"Kristen Edmonds",2018,"ORL","USA","DF",15,13,1091,1,0,1,0
"243",153,"Emily van Egmond",2018,"ORL","AUS","MF",17,12,1098,0,1,2,0
"244",59,"Brooke Elby",2018,"UTA","USA","MF",7,6,577,0,0,1,0
"245",59,"Brooke Elby",2018,"CHI","USA","MF",4,3,269,0,1,0,0
"246",2,"Abby Elinsky",2018,"ORL","USA","MF",2,0,32,0,0,0,0
"247",3,"Abby Erceg",2018,"NC","NZL","DF,FW",24,24,2160,2,2,1,0
"248",228,"Julie Ertz",2018,"CHI","USA","DF,MF",14,13,1126,0,0,1,0
"249",330,"Mallory Eubanks",2018,"WAS","USA","FW",12,5,516,0,0,0,0
"250",119,"Danica Evans",2018,"ORL","USA","FW",5,0,48,0,0,0,0
"251",104,"Claire Falknor",2018,"HOU","USA","DF",2,0,27,0,0,0,0
"252",65,"Cali Farquharson",2018,"WAS","USA","FW",5,1,152,0,0,0,0
"253",211,NA,2018,"SEA","WAL","MF",18,18,1543,2,1,2,0
"254",63,"Caitlin Foord",2018,"POR","AUS","DF,FW",6,2,276,0,0,1,0
"255",333,"Mandy Freeman",2018,"NJ","USA","DF",21,21,1826,0,0,2,0
"256",24,"Amanda Frisbie",2018,"NJ","USA","DF",17,15,1285,0,0,0,0
"257",100,"Christina Gibbons",2018,"NJ","USA","DF",18,16,1431,0,0,2,0
"258",445,"Sarah Gorden",2018,"CHI","USA","DF",17,12,1246,0,0,0,0
"259",245,"Katrina Gorry",2018,"UTA","AUS","MF",16,13,1068,0,1,1,0
"260",470,"Summer Green",2018,"CHI","USA","FW",8,4,318,0,0,0,0
"261",456,"Shea Groom",2018,"NJ","USA","FW",21,17,1535,2,3,0,0
"262",277,"Kristen Hamilton",2018,"NC","USA","FW",23,8,783,3,4,4,0
"263",174,"Haley Hanson",2018,"HOU","USA","MF",19,15,1463,1,0,1,0
"264",43,"Ashley Hatch",2018,"WAS","USA","FW",22,22,1927,4,1,2,0
"265",491,"Tobin Heath",2018,"POR","USA","MF",17,14,1269,7,7,0,0
"266",417,"Rachel Hill",2018,"ORL","USA","FW",21,7,814,4,0,1,0
"267",192,"Jaelene Hinkle",2018,"NC","USA","DF",20,20,1779,0,4,1,0
"268",308,"Lindsey Horan",2018,"POR","USA","FW",22,22,1980,13,2,5,0
"269",204,"Jen Hoy",2018,"NJ","USA","FW,MF",10,2,217,0,0,1,0
"270",258,"Kelli Hubly",2018,"POR","USA","DF",11,9,818,0,0,1,0
"271",460,"Sofia Huerta",2018,"HOU","MEX","FW",12,12,1068,5,4,1,0
"272",460,"Sofia Huerta",2018,"CHI","MEX","FW",11,11,964,3,2,0,0
"273",493,"Tori Huster",2018,"WAS","USA","MF",17,15,1283,0,0,0,0
"274",124,"Darian Jenkins",2018,"NC","USA","FW",12,0,176,0,0,0,0
"275",162,"Estelle Johnson",2018,"WAS","CMR","DF",21,21,1890,0,0,2,0
"276",200,"Jaycie Johnson",2018,"SEA","USA","FW",3,0,3,0,0,0,0
"277",240,NA,2018,"NJ","MEX","FW",19,13,1166,4,2,1,0
"278",443,"Samantha Johnson",2018,"CHI","USA","DF,MF",10,10,900,0,0,3,0
"279",443,"Samantha Johnson",2018,"UTA","USA","DF,MF",6,5,433,0,0,2,0
"280",293,"Lauren Kaskie",2018,"CHI","USA","MF",7,3,214,1,0,0,0
"281",505,"Yuri Kawamura",2018,"NC","JPN","MF",2,1,98,0,0,0,0
"282",390,"Nahomi Kawasumi",2018,"SEA","JPN","FW,MF",14,11,875,0,3,0,0
"283",274,"Kimberly Keever",2018,"HOU","USA","FW",11,9,727,1,0,1,0
"284",9,"Alanna Kennedy",2018,"ORL","AUS","MF",20,20,1800,2,1,2,0
"285",439,"Sam Kerr",2018,"CHI","AUS","FW,MF",19,19,1704,16,4,2,0
"286",483,"Thembi Kgatlana",2018,"HOU","RSA","FW",16,2,375,2,3,1,0
"287",449,"Sarah Killion",2018,"NJ","USA","MF",24,24,2132,2,2,3,0
"288",21,"Alyssa Kleiner",2018,"SEA","USA","DF",10,4,414,0,0,1,0
"289",361,"Meghan Klingenberg",2018,"POR","USA","DF,MF",20,20,1751,0,2,1,0
"290",15,"Ali Krieger",2018,"ORL","USA","DF,MF",19,19,1675,0,2,1,0
"291",231,"Kaleigh Kurtz",2018,"NC","USA","DF",6,6,540,0,0,0,0
"292",314,"Lo’eau LaBonta",2018,"UTA","USA","MF",16,8,823,0,0,0,0
"293",498,"Veronica Latsko",2018,"HOU","USA","MF",21,9,972,4,2,0,0
"294",434,"Rose Lavelle",2018,"WAS","USA","MF",11,5,423,0,0,0,0
"295",7,"Adriana Leon",2018,"NJ","CAN","FW,MF",2,0,33,0,0,0,0
"296",7,"Adriana Leon",2018,"SEA","CAN","FW,MF",6,1,152,0,0,0,0
"297",472,"Sydney Leroux",2018,"ORL","USA","FW",20,15,1431,6,2,2,0
"298",76,"Carli Lloyd",2018,"NJ","USA","MF",18,17,1563,4,1,4,1
"299",216,"Joanna Lohman",2018,"WAS","USA","DF,MF",13,4,429,1,0,1,0
"300",18,"Allie Long",2018,"SEA","USA","MF",19,19,1710,3,1,2,0
"301",495,"Tyler Lussi",2018,"POR","USA","FW",15,3,370,1,1,1,0
